p,design,score,topic
s1,decluttered,1,CAR
s2,focused,1,CAR
s4,cluttered,0,CAR
s5,focused,1,CAR
s7,cluttered,1,CAR
s8,cluttered,0,CAR
s9,decluttered,1,CAR
s10,decluttered,1,CAR
s11,cluttered,0,CAR
s12,decluttered,0,CAR
s14,cluttered,0,CAR
s15,focused,1,CAR
s16,decluttered,0,CAR
s17,cluttered,1,CAR
s18,decluttered,0,CAR
s19,decluttered,0,CAR
s21,focused,1,CAR
s28,focused,1,CAR
s29,focused,1,CAR
s30,focused,1,CAR
s31,focused,1,CAR
s32,cluttered,0,CAR
s33,cluttered,0,CAR
s34,decluttered,0,CAR
s1,focused,0,HOLIDAY
s2,decluttered,0,HOLIDAY
s4,decluttered,1,HOLIDAY
s5,decluttered,0,HOLIDAY
s7,focused,0,HOLIDAY
s8,decluttered,0,HOLIDAY
s9,cluttered,0,HOLIDAY
s10,focused,0,HOLIDAY
s11,focused,0,HOLIDAY
s12,cluttered,0,HOLIDAY
s14,decluttered,1,HOLIDAY
s15,decluttered,0,HOLIDAY
s16,focused,0,HOLIDAY
s17,focused,0,HOLIDAY
s18,cluttered,0,HOLIDAY
s19,focused,0,HOLIDAY
s21,decluttered,0,HOLIDAY
s28,cluttered,0,HOLIDAY
s29,cluttered,0,HOLIDAY
s30,cluttered,0,HOLIDAY
s31,cluttered,0,HOLIDAY
s32,focused,1,HOLIDAY
s33,decluttered,0,HOLIDAY
s34,cluttered,0,HOLIDAY
s1,cluttered,0,NEWS
s2,cluttered,0,NEWS
s4,focused,1,NEWS
s5,cluttered,0,NEWS
s7,decluttered,0,NEWS
s8,focused,1,NEWS
s9,decluttered,0,NEWS
s10,cluttered,0,NEWS
s11,decluttered,0,NEWS
s12,decluttered,1,NEWS
s14,focused,0,NEWS
s15,cluttered,0,NEWS
s16,cluttered,0,NEWS
s17,decluttered,1,NEWS
s18,decluttered,0,NEWS
s19,cluttered,0,NEWS
s21,cluttered,0,NEWS
s28,focused,0,NEWS
s29,focused,1,NEWS
s30,focused,1,NEWS
s31,focused,0,NEWS
s32,decluttered,0,NEWS
s33,focused,0,NEWS
s34,decluttered,1,NEWS
s1,cluttered,0,TIRES
s2,decluttered,1,TIRES
s4,focused,1,TIRES
s5,decluttered,1,TIRES
s7,decluttered,0,TIRES
s8,focused,1,TIRES
s9,focused,1,TIRES
s10,cluttered,1,TIRES
s11,decluttered,0,TIRES
s12,focused,1,TIRES
s14,focused,1,TIRES
s15,decluttered,1,TIRES
s16,cluttered,0,TIRES
s17,decluttered,0,TIRES
s18,focused,1,TIRES
s19,cluttered,0,TIRES
s21,decluttered,1,TIRES
s28,cluttered,0,TIRES
s29,cluttered,1,TIRES
s30,cluttered,1,TIRES
s31,cluttered,1,TIRES
s32,decluttered,1,TIRES
s33,focused,1,TIRES
s34,focused,1,TIRES
s1,decluttered,0,PRISON
s2,focused,1,PRISON
s4,cluttered,0,PRISON
s5,focused,0,PRISON
s7,cluttered,0,PRISON
s8,cluttered,0,PRISON
s9,focused,0,PRISON
s10,decluttered,0,PRISON
s11,cluttered,0,PRISON
s12,focused,1,PRISON
s14,cluttered,0,PRISON
s15,focused,1,PRISON
s16,decluttered,0,PRISON
s17,cluttered,0,PRISON
s18,focused,0,PRISON
s19,decluttered,0,PRISON
s21,focused,0,PRISON
s28,decluttered,0,PRISON
s29,decluttered,0,PRISON
s30,decluttered,0,PRISON
s31,decluttered,0,PRISON
s32,cluttered,0,PRISON
s33,cluttered,0,PRISON
s34,focused,1,PRISON
s1,focused,0,PLANTS
s2,cluttered,0,PLANTS
s4,decluttered,0,PLANTS
s5,cluttered,0,PLANTS
s7,focused,0,PLANTS
s8,decluttered,1,PLANTS
s9,cluttered,1,PLANTS
s10,focused,1,PLANTS
s11,focused,0,PLANTS
s12,cluttered,1,PLANTS
s14,decluttered,1,PLANTS
s15,cluttered,1,PLANTS
s16,focused,0,PLANTS
s17,focused,1,PLANTS
s18,cluttered,0,PLANTS
s19,focused,0,PLANTS
s21,cluttered,0,PLANTS
s28,decluttered,1,PLANTS
s29,decluttered,0,PLANTS
s30,decluttered,0,PLANTS
s31,decluttered,1,PLANTS
s32,focused,1,PLANTS
s33,decluttered,0,PLANTS
s34,cluttered,1,PLANTS