topic,category,definition,relevant,relevancy_s1,relevancy_s2,relevancy_s4,relevancy_s5,relevancy_s7,relevancy_s8,relevancy_s9,relevancy_s10,relevancy_s11,relevancy_s12,relevancy_s14,relevancy_s15,relevancy_s16,relevancy_s17,relevancy_s18,relevancy_s19,relevancy_s21,relevancy_s28,relevancy_s29,relevancy_s30,relevancy_s31,relevancy_s32,relevancy_s33,relevancy_s34,design_s1,design_s2,design_s4,design_s5,design_s7,design_s8,design_s9,design_s10,design_s11,design_s12,design_s14,design_s15,design_s16,design_s17,design_s18,design_s19,design_s21,design_s28,design_s29,design_s30,design_s31,design_s32,design_s33,design_s34,order_s1,order_s2,order_s4,order_s5,order_s7,order_s8,order_s9,order_s10,order_s11,order_s12,order_s14,order_s15,order_s16,order_s17,order_s18,order_s19,order_s21,order_s28,order_s29,order_s30,order_s31,order_s32,order_s33,order_s34
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
TIRES,Goodrich,Mentions that Goodrich was the most expensive brand,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
TIRES,Price,Mentions specific prices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
TIRES,Increase,Mentions that certain tire prices have increased,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
TIRES,Misread graph,The conclusion inaccurately describes the graph,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
TIRES,Unknown,Participant does not remember,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
TIRES,Other,None of the above conclusions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
PRISON,Prevalence,Mentions that certain reasons for imprisonment are more prevalent than others,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PRISON,Immigration,Mentions that immigration is the most common reason for imprisonment,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PRISON,Weapons,Mentions that weapons are a common reason for imprisonment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PRISON,Range,Mentions that there are only a few reasons for imprisonment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PRISON,Display,Mentions the placement of bars in the graph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PRISON,Unknown,Participant does not remember,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PRISON,Other,None of the above conclusions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PLANTS,Popularity,Mentions that certain seeds are popular among customers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,Focused,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Cluttered,Focused,Focused,Cluttered,Focused,Cluttered,Decluttered,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,2,5,4,5,6,4,3,2,6,3,4,5,2,6,3,2,5,1,1,1,1,6,4,3
PLANTS,Trends,Mentions that a trend exists,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Focused,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Cluttered,Focused,Focused,Cluttered,Focused,Cluttered,Decluttered,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,2,5,4,5,6,4,3,2,6,3,4,5,2,6,3,2,5,1,1,1,1,6,4,3
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Focused,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Cluttered,Focused,Focused,Cluttered,Focused,Cluttered,Decluttered,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,2,5,4,5,6,4,3,2,6,3,4,5,2,6,3,2,5,1,1,1,1,6,4,3
PLANTS,Misread graph,The conclusion inaccurately describes the grpah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Focused,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Cluttered,Focused,Focused,Cluttered,Focused,Cluttered,Decluttered,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,2,5,4,5,6,4,3,2,6,3,4,5,2,6,3,2,5,1,1,1,1,6,4,3
PLANTS,Unknown,Participant does not remember,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Focused,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Cluttered,Focused,Focused,Cluttered,Focused,Cluttered,Decluttered,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,2,5,4,5,6,4,3,2,6,3,4,5,2,6,3,2,5,1,1,1,1,6,4,3
PLANTS,Other,None of the above conclusions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Focused,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Cluttered,Focused,Focused,Cluttered,Focused,Cluttered,Decluttered,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,2,5,4,5,6,4,3,2,6,3,4,5,2,6,3,2,5,1,1,1,1,6,4,3
CAR,Noise,Mentions engine noise as the top / one of the top concern(s),1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
HOLIDAY,Men,Mentions that men shop more in later months (November and December),1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Focused,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Decluttered,Focused,Focused,Cluttered,Focused,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Focused,Decluttered,Cluttered,1,6,2,6,4,2,5,1,4,5,2,6,1,4,5,1,6,4,4,4,4,4,2,5
HOLIDAY,Woman,Mentions that women shop more / earlier than men,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,Focused,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Decluttered,Focused,Focused,Cluttered,Focused,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Focused,Decluttered,Cluttered,1,6,2,6,4,2,5,1,4,5,2,6,1,4,5,1,6,4,4,4,4,4,2,5
NEWS,Internet,Mentions that internet usage is increasing,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,Cluttered,Cluttered,Focused,Cluttered,Decluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,Focused,Focused,Focused,Decluttered,Focused,Decluttered,3,4,1,4,2,1,6,3,2,6,1,4,3,2,6,3,4,5,5,5,5,2,1,6
TIRES,Convergence,Mentions that tire prices converge,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Cluttered,Decluttered,Focused,Decluttered,Decluttered,Focused,Focused,Cluttered,Decluttered,Focused,Focused,Decluttered,Cluttered,Decluttered,Focused,Cluttered,Decluttered,Cluttered,Cluttered,Cluttered,Cluttered,Decluttered,Focused,Focused,6,1,5,1,3,5,2,6,3,2,5,1,6,3,2,6,1,3,3,3,3,3,5,2
PRISON,Minor / Major,Mentions both major and minor drug offenses,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Cluttered,Focused,Decluttered,Cluttered,Focused,Decluttered,Focused,Decluttered,Decluttered,Decluttered,Decluttered,Cluttered,Cluttered,Focused,5,2,3,2,1,3,4,5,1,4,3,2,5,1,4,5,2,6,6,6,6,1,3,4
PLANTS,Local / National,Mentions a difference between local and national sales,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,Focused,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Focused,Focused,Cluttered,Decluttered,Cluttered,Focused,Focused,Cluttered,Focused,Cluttered,Decluttered,Decluttered,Decluttered,Decluttered,Focused,Decluttered,Cluttered,2,5,4,5,6,4,3,2,6,3,4,5,2,6,3,2,5,1,1,1,1,6,4,3