topic,design,question,s1,s2,s4,s5,s7,s8,s9,s10,s11,s14,s15,s16,s17,s18,s19,s21,s28,s29,s30,s31,s32,s33,s34
Prison,Cluttered,Aesthetic,3,2,4,2,5,2,3,2,4,2,4,4,5,2,3,2,2,5,1,3,3,2,2
Prison,Cluttered,Clarity,3,2,3,4,5,2,2,3,1,3,4,4,4,5,3,5,2,4,2,3,5,3,1
Prison,Cluttered,Professionalism,4,2,3,2,5,3,3,1,2,2,4,5,4,5,2,5,1,4,1,2,4,2,1
Prison,Cluttered,Trustworthiness,4,3,5,3,5,5,2,3,2,3,4,5,5,5,1,5,2,5,1,4,3,2,2
Prison,Decluttered,Aesthetic,5,4,5,3,4,4,4,4,2,1,4,3,3,5,,5,3,3,5,3,2,3,3
Prison,Decluttered,Clarity,4,5,5,3,5,4,5,5,4,3,4,5,4,5,3,3,2,4,5,4,4,4,4
Prison,Decluttered,Professionalism,5,4,5,4,4,4,5,5,4,3,5,4,4,3,5,4,3,4,5,3,3,3,
Prison,Decluttered,Trustworthiness,5,4,5,4,4,5,4,5,3,3,4,4,4,5,5,5,3,4,5,3,3,3,5
Prison,Focused,Aesthetic,4,5,5,5,4,5,2,5,5,2,4,3,3,5,,5,5,4,3,5,3,2,5
Prison,Focused,Clarity,4,5,5,4,5,5,3,5,5,4,5,5,5,5,5,3,4,5,5,5,4,5,5
Prison,Focused,Professionalism,4,5,4,5,5,5,2,4,5,3,2,3,4,3,5,5,5,4,3,5,3,4,
Prison,Focused,Trustworthiness,4,5,5,5,5,5,3,4,4,3,3,3,4,5,5,5,5,4,5,4,3,3,4
News,Cluttered,Aesthetic,2,3,4,3,2,2,1,1,3,3,4,3,2,1,3,2,2,5,1,2,2,3,1
News,Cluttered,Clarity,2,3,5,3,4,2,4,2,1,2,4,5,2,1,4,5,4,5,5,3,4,3,1
News,Cluttered,Professionalism,2,2,3,3,3,3,1,1,2,1,4,3,2,1,3,3,1,5,3,2,3,3,4
News,Cluttered,Trustworthiness,3,2,4,3,3,5,2,3,3,3,5,3,3,3,2,5,2,5,4,2,3,3,5
News,Focused,Aesthetic,4,5,5,4,5,4,5,5,4,4,5,5,4,5,5,5,5,4,5,4,4,5,
News,Focused,Clarity,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4,4,5,5
News,Focused,Professionalism,3,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,4,5,5
News,Focused,Trustworthiness,4,5,5,5,5,4,5,4,5,4,5,5,5,3,5,5,5,5,4,4,3,5,5
News,Decluttered,Aesthetic,4,4,4,3,2,4,4,3,2,3,2,5,3,5,4,3,3,3,5,3,3,3,3
News,Decluttered,Clarity,4,5,5,4,4,4,4,3,2,5,3,5,4,4,4,4,5,4,5,4,4,4,3
News,Decluttered,Professionalism,3,4,5,4,3,5,5,3,3,4,2,4,4,5,5,4,4,3,4,4,4,3,5
News,Decluttered,Trustworthiness,4,5,5,4,3,4,5,3,4,4,5,5,5,3,5,5,4,3,4,3,3,3,5
Tires,Focused,Aesthetic,3,5,4,4,3,4,3,4,2,1,2,4,4,4,4,4,5,3,5,2,4,4,4
Tires,Focused,Clarity,3,5,5,4,5,4,5,5,3,3,4,4,5,5,5,3,5,3,5,3,2,4,5
Tires,Focused,Professionalism,3,5,5,5,3,4,4,5,4,4,2,4,5,3,5,3,5,4,5,4,3,4,5
Tires,Focused,Trustworthiness,3,5,5,4,4,4,5,5,3,3,4,4,5,3,4,5,5,4,5,3,3,4,5
Tires,Cluttered,Aesthetic,2,3,4,3,4,2,1,2,4,1,3,2,3,4,2,2,2,4,3,3,3,4,3
Tires,Cluttered,Clarity,2,3,5,3,5,2,5,3,5,1,4,5,3,5,4,5,3,3,5,5,4,3,2
Tires,Cluttered,Professionalism,3,3,4,4,5,2,1,3,5,1,4,5,3,5,4,3,2,4,4,4,4,4,4
Tires,Cluttered,Trustworthiness,3,3,5,4,5,4,2,4,4,2,4,5,3,5,3,5,2,4,5,4,3,3,5
Tires,Decluttered,Aesthetic,2,4,3,3,3,3,4,3,2,1,2,4,4,4,3,2,4,2,5,2,3,3,3
Tires,Decluttered,Clarity,2,5,5,3,5,3,5,4,2,2,4,4,5,5,1,1,4,3,5,2,2,3,
Tires,Decluttered,Professionalism,3,4,5,4,3,4,5,4,1,1,2,4,5,3,2,3,4,3,5,3,2,3,2
Tires,Decluttered,Trustworthiness,3,4,5,3,3,4,5,3,3,2,4,5,5,3,4,5,4,3,5,2,3,3,5
Holiday,Decluttered,Aesthetic,4,3,3,3,2,4,4,3,3,2,4,5,3,3,5,5,3,3,3,2,3,2,1
Holiday,Decluttered,Clarity,3,5,5,4,2,4,5,3,4,4,5,5,5,3,4,5,4,5,3,4,4,3,2
Holiday,Decluttered,Professionalism,4,5,5,4,3,4,5,3,4,3,4,5,4,5,5,5,4,4,4,4,1,3,3
Holiday,Decluttered,Trustworthiness,3,5,5,3,3,5,5,3,4,3,4,5,4,5,5,5,4,4,4,3,3,3,4
Holiday,Cluttered,Aesthetic,3,2,4,2,2,2,1,1,4,3,2,3,4,3,1,2,1,4,1,3,2,2,2
Holiday,Cluttered,Clarity,3,2,5,4,2,4,5,1,3,4,3,5,2,3,4,2,3,5,4,4,4,3,3
Holiday,Cluttered,Professionalism,2,2,3,3,1,2,1,1,1,2,2,5,3,1,2,2,2,5,1,3,4,2,1
Holiday,Cluttered,Trustworthiness,3,3,,3,3,3,2,2,2,3,4,5,3,1,2,4,2,4,4,3,3,3,4
Holiday,Focused,Aesthetic,3,5,4,5,5,5,5,5,5,3,3,5,5,3,5,5,5,3,2,3,4,3,3
Holiday,Focused,Clarity,4,5,4,4,5,5,4,5,5,4,5,5,5,3,5,5,5,5,5,4,3,4,5
Holiday,Focused,Professionalism,4,5,3,5,5,5,3,5,5,2,4,2,5,5,5,4,5,5,5,4,2,3,1
Holiday,Focused,Trustworthiness,4,5,4,4,,5,5,5,5,3,4,3,5,5,5,5,5,5,4,3,3,3,4
Car,Decluttered,Aesthetic,3,3,5,2,3,4,4,5,3,1,4,5,3,4,2,4,4,3,4,3,3,3,3
Car,Decluttered,Clarity,3,4,5,3,3,3,5,4,4,2,4,4,5,4,2,5,4,4,5,4,4,4,4
Car,Decluttered,Professionalism,3,4,5,4,2,3,5,5,4,3,4,5,5,4,4,5,4,4,5,5,4,3,5
Car,Decluttered,Trustworthiness,4,4,5,3,3,5,5,5,4,2,5,5,5,5,4,5,4,4,5,4,3,3,5
Car,Focused,Aesthetic,2,5,3,4,5,4,5,5,4,2,5,5,5,4,4,5,5,4,5,4,4,4,5
Car,Focused,Clarity,4,5,5,4,5,5,5,5,5,3,5,5,5,4,5,5,5,4,5,5,4,5,5
Car,Focused,Professionalism,3,5,3,5,5,5,5,5,5,4,5,4,5,4,5,5,5,4,5,5,4,5,5
Car,Focused,Trustworthiness,4,5,5,5,3,5,5,3,4,3,5,3,5,5,5,5,5,4,5,4,3,5,2
Car,Cluttered,Aesthetic,2,2,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1,2,1,1,1,2,1
Car,Cluttered,Clarity,2,2,5,3,3,3,2,2,3,1,2,5,2,4,2,1,2,3,4,2,1,2,1
Car,Cluttered,Professionalism,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,3,1,1,1,2,1
Car,Cluttered,Trustworthiness,2,2,3,2,3,4,1,3,3,2,4,3,2,1,2,2,2,3,2,1,1,1,4
Plants,Focused,Aesthetic,4,4,3,4,5,4,5,5,4,3,4,5,5,4,5,5,5,4,4,4,2,4,5
Plants,Focused,Clarity,4,5,4,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5
Plants,Focused,Professionalism,4,5,2,4,5,5,4,5,5,4,5,5,5,5,5,4,4,4,5,5,2,5,5
Plants,Focused,Trustworthiness,4,5,1,4,5,4,5,4,5,4,4,5,5,3,5,5,5,4,5,4,3,5,2
Plants,Decluttered,Aesthetic,3,3,5,2,2,2,3,3,3,2,3,4,3,4,4,2,4,2,4,2,1,3,3
Plants,Decluttered,Clarity,3,4,3,3,2,2,4,3,3,3,,4,5,4,4,4,4,3,5,4,2,4,1
Plants,Decluttered,Professionalism,3,4,5,3,2,4,4,3,4,2,3,4,4,5,5,2,4,3,4,3,1,3,4
Plants,Decluttered,Trustworthiness,4,4,5,2,3,3,5,3,3,3,4,4,4,3,4,5,4,4,5,3,2,4,5
Plants,Cluttered,Aesthetic,2,5,1,3,2,3,1,1,1,2,4,2,3,2,1,1,1,5,1,3,4,1,1
Plants,Cluttered,Clarity,2,5,5,3,2,3,4,2,2,3,,2,4,2,4,5,2,5,5,4,4,3,3
Plants,Cluttered,Professionalism,2,3,1,2,3,3,1,1,1,1,4,2,2,1,3,1,1,4,1,2,3,1,1
Plants,Cluttered,Trustworthiness,3,4,3,2,3,3,2,2,2,2,4,2,2,3,1,5,2,4,5,2,3,2,4